Researches;What Is A Habit?;image;\\what_is_a_habit.png
Researches;Habit Forming;image;\\form_a_habit.png
Researches;Four Stages of Habit Forming;image;\\4_stages_of_a_habit.png
Researches;Habit Loop;image;\\habit_loop.png
Researches;Definition;web;https://dictionary.cambridge.org/dictionary/english/habit
Researches;Wikipedia;web;https://en.wikipedia.org/wiki/Habit#cite_note-4
Researches;How To Start New Habits That Actually Stick;web;https://jamesclear.com/three-steps-habit-change
Opinions;Create Affirmations to Help You Stick to Your Habit;web;https://medium.com/in-fitness-and-in-health/create-affirmations-to-help-you-stick-to-your-habit-day-5-in-how-to-start-a-new-habit-262ece26d321 
Opinions;5 Ways to Break Your Bad Habit Now;web;https://www.psychologytoday.com/us/blog/your-personal-renaissance/202010/5-ways-break-your-bad-habit-now 
Researches;Making health habitual: the psychology of ‘habit-formation’ and general practice;web;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3505409/ 
Researches;How Long Does It Take for a New Behavior to Become Automatic?;web;https://www.healthline.com/health/how-long-does-it-take-to-form-a-habit#the-21-day-myth 
Opinions;6 Powerful Ways to Build New Habits;web;https://www.psychologytoday.com/us/blog/flourish-and-thrive/202002/6-powerful-ways-build-new-habits 
Opinions;How to Improve Your Self-Control;web;https://www.verywellmind.com/psychology-of-self-control-4177125
Researches;Here's How Long It Really Takes to Break a Habit, According to Science;web;https://www.sciencealert.com/how-long-it-takes-to-break-a-habit-according-to-science
